"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,12.4,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2006","2006","PC","Percentage","0","Units",,,19.8,,
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,19.8,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,13.8,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,16.6,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,7.8,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2004","2004","PC","Percentage","0","Units",,,19.5,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2002","2002","PC","Percentage","0","Units",,,14,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,16.1,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2008","2008","PC","Percentage","0","Units",,,13.4,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,17.7,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2002","2002","PC","Percentage","0","Units",,,11.3,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,9.9,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,19.4,,
"SVN","Slovenia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,21,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,11,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,20.4,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,14.1,,
"ZAF","South Africa","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,55.1,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,11.8,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,17.3,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,16.6,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2012","2012","PC","Percentage","0","Units",,,14.7,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,9.1,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2001","2001","PC","Percentage","0","Units",,,14.6,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,15,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,18.4,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2004","2004","PC","Percentage","0","Units",,,23.6,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,8,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,19.5,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,9.5,,
"NLD","Netherlands","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1995","1995","PC","Percentage","0","Units",,,12,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,20.8,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,10.4,,
"SWE","Sweden","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,22.3,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,5,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2001","2001","PC","Percentage","0","Units",,,12.1,,
"ZAF","South Africa","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,55,,
"IDN","Indonesia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,22.2,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2002","2002","PC","Percentage","0","Units",,,8.7,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,14.2,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,6.8,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2009","2009","PC","Percentage","0","Units",,,11.3,,
"RUS","Russia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2006","2006","PC","Percentage","0","Units",,,17.1,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,8.6,,
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,12.3,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,23.7,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,15.8,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,6,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2003","2003","PC","Percentage","0","Units",,,12.2,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2002","2002","PC","Percentage","0","Units",,,4.4,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,12.6,,
"POL","Poland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,28.8,,
"CHL","Chile","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,20.7,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,22.2,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2002","2002","PC","Percentage","0","Units",,,17.2,,
"TUR","Turkey","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2001","2001","PC","Percentage","0","Units",,,14.4,,
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2001","2001","PC","Percentage","0","Units",,,12.3,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,11.2,,
"POL","Poland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2001","2001","PC","Percentage","0","Units",,,42,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,17.1,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2007","2007","PC","Percentage","0","Units",,,12.5,,
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,8.9,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,9.8,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2012","2012","PC","Percentage","0","Units",,,54.1,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,7.1,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,4,,
"ZAF","South Africa","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2003","2003","PC","Percentage","0","Units",,,58.7,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,25.4,,
"RUS","Russia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2002","2002","PC","Percentage","0","Units",,,16.9,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2004","2004","PC","Percentage","0","Units",,,10.8,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,12.3,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,33.8,,
"SWE","Sweden","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,23.3,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2013","2013","PC","Percentage","0","Units",,,19.7,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2008","2008","PC","Percentage","0","Units",,,7.9,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2012","2012","PC","Percentage","0","Units",,,8.9,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2003","2003","PC","Percentage","0","Units",,,36.2,,
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,10,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2009","2009","PC","Percentage","0","Units",,,24.6,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2002","2002","PC","Percentage","0","Units",,,7.9,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,23.4,,
"TUR","Turkey","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","1990","1990","PC","Percentage","0","Units",,,16.6,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,18.3,,
"CHL","Chile","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,21.2,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2003","2003","PC","Percentage","0","Units",,,31.6,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2002","2002","PC","Percentage","0","Units",,,31.4,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,20.6,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,27.8,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,15.8,,
"POL","Poland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2001","2001","PC","Percentage","0","Units",,,40.1,,
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,13.8,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,13.9,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2008","2008","PC","Percentage","0","Units",,,7.4,,
"CHN","China (People's Republic of)","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,6.5,,
"POL","Poland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2004","2004","PC","Percentage","0","Units",,,43.3,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,17.1,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,18.7,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,27.1,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,19.2,,
"IRL","Ireland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,35.8,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,26.3,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,11.9,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,8.6,,
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,15.1,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,8.6,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,9.1,,
"CHL","Chile","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2004","2004","PC","Percentage","0","Units",,,31.2,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,34.3,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,1.7,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,18.4,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2010","2010","PC","Percentage","0","Units",,,10.2,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,13,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2008","2008","PC","Percentage","0","Units",,,8.8,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,15,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2004","2004","PC","Percentage","0","Units",,,7.4,,
"SVN","Slovenia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,20.1,,
"NLD","Netherlands","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2003","2003","PC","Percentage","0","Units",,,7,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,20.3,,
"ISR","Israel","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2004","2004","PC","Percentage","0","Units",,,21.9,,
"HUN","Hungary","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,18.7,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,8.9,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,19.3,,
"JPN","Japan","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,10.4,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,33.8,,
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2012","2012","PC","Percentage","0","Units",,,11.4,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,38.8,,
"TUR","Turkey","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,25.4,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2002","2002","PC","Percentage","0","Units",,,14.2,,
"SVN","Slovenia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,15.2,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2005","2005","PC","Percentage","0","Units",,,15,,
"CHL","Chile","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2001","2001","PC","Percentage","0","Units",,,29.8,,
"NLD","Netherlands","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2006","2006","PC","Percentage","0","Units",,,8.4,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2004","2004","PC","Percentage","0","Units",,,8,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,10.4,,
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,18.5,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2008","2008","PC","Percentage","0","Units",,,18.1,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2008","2008","PC","Percentage","0","Units",,,24.7,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,12.7,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2006","2006","PC","Percentage","0","Units",,,15.2,,
"FIN","Finland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2002","2002","PC","Percentage","0","Units",,,20.5,,
"DNK","Denmark","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2013","2013","PC","Percentage","0","Units",,,11.8,,
"EST","Estonia","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,33.8,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,18.8,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,8.2,,
"BRA","Brazil","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,13.8,,
"NLD","Netherlands","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,13.7,,
"CAN","Canada","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2008","2008","PC","Percentage","0","Units",,,13,,
"IND","India","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2008","2008","PC","Percentage","0","Units",,,10.3,,
"ISL","Iceland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2001","2001","PC","Percentage","0","Units",,,4.3,,
"CZE","Czech Republic","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,8.7,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2012","2012","PC","Percentage","0","Units",,,8.6,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2013","2013","PC","Percentage","0","Units",,,18.4,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2006","2006","PC","Percentage","0","Units",,,9.7,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,18.6,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,9.4,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2013","2013","PC","Percentage","0","Units",,,10.9,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2005","2005","PC","Percentage","0","Units",,,27.6,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2012","2012","PC","Percentage","0","Units",,,10,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2001","2001","PC","Percentage","0","Units",,,5.8,,
"OAVG","OECD - Average","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,20.9,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,9.5,,
"CHE","Switzerland","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,5.6,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2013","2013","PC","Percentage","0","Units",,,39.6,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2006","2006","PC","Percentage","0","Units",,,20.4,,
"POL","Poland","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2007","2007","PC","Percentage","0","Units",,,23.8,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2001","2001","PC","Percentage","0","Units",,,9.3,,
"BEL","Belgium","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,22.4,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,5.7,,
"ESP","Spain","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,32.9,,
"USA","United States","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2013","2013","PC","Percentage","0","Units",,,13.9,,
"AUT","Austria","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,9.2,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2007","2007","PC","Percentage","0","Units",,,7.9,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2000","2000","PC","Percentage","0","Units",,,35.4,,
"TUR","Turkey","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2013","2013","PC","Percentage","0","Units",,,16.9,,
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2010","2010","PC","Percentage","0","Units",,,17.1,,
"NZL","New Zealand","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2012","2012","PC","Percentage","0","Units",,,18.4,,
"AUS","Australia","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,14.8,,
"GRC","Greece","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2000","2000","PC","Percentage","0","Units",,,21.6,,
"KOR","Korea","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2012","2012","PC","Percentage","0","Units",,,9.7,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2003","2003","PC","Percentage","0","Units",,,18.7,,
"ITA","Italy","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2003","2003","PC","Percentage","0","Units",,,30.9,,
"ZAF","South Africa","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2011","2011","PC","Percentage","0","Units",,,46.3,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2002","2002","PC","Percentage","0","Units",,,13,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2002","2002","PC","Percentage","0","Units",,,9.8,,
"LUX","Luxembourg","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2009","2009","PC","Percentage","0","Units",,,17.8,,
"DEU","Germany","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2007","2007","PC","Percentage","0","Units",,,11.1,,
"GBR","United Kingdom","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1990","1990","PC","Percentage","0","Units",,,9,,
"SVK","Slovak Republic","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2009","2009","PC","Percentage","0","Units",,,27.9,,
"NOR","Norway","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","1995","1995","PC","Percentage","0","Units",,,11.8,,
"PRT","Portugal","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,12.6,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2001","2001","PC","Percentage","0","Units",,,21.8,,
"MEX","Mexico","EMP3","Unemployment rate, by sex and age group","WOMEN","Women","1524","15-24","2011","2011","PC","Percentage","0","Units",,,10.8,,
"FRA","France","EMP3","Unemployment rate, by sex and age group","MEN","Men","1524","15-24","2003","2003","PC","Percentage","0","Units",,,17.8,,
